index,name,size,type,subtype,alignment,armor_class,hit_points,hit_dice,speed,strength,dexterity,constitution,intelligence,wisdom,charisma,constitution_save,intelligence_save,wisdom_save,history,perception,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,senses,languages,challenge_rating,special_abilities/0/name,special_abilities/0/desc,special_abilities/0/attack_bonus,special_abilities/1/name,special_abilities/1/desc,special_abilities/1/attack_bonus,special_abilities/2/name,special_abilities/2/desc,special_abilities/2/attack_bonus,actions/0/name,actions/0/desc,actions/0/attack_bonus,actions/1/name,actions/1/desc,actions/1/attack_bonus,actions/1/damage_dice,actions/1/damage_bonus,actions/2/name,actions/2/desc,actions/2/attack_bonus,actions/2/damage_dice,actions/2/damage_bonus,actions/3/name,actions/3/desc,actions/3/attack_bonus,legendary_actions/0/name,legendary_actions/0/desc,legendary_actions/0/attack_bonus,legendary_actions/1/name,legendary_actions/1/desc,legendary_actions/1/attack_bonus,legendary_actions/2/name,legendary_actions/2/desc,legendary_actions/2/attack_bonus,url,medicine,religion,actions/0/damage_dice,dexterity_save,charisma_save,stealth,actions/3/damage_dice,actions/3/damage_bonus,actions/4/name,actions/4/desc,actions/4/attack_bonus,actions/5/name,actions/5/desc,actions/5/attack_bonus,actions/5/damage_dice,persuasion,insight,deception,actions/6/name,actions/6/desc,actions/6/attack_bonus,actions/6/damage_dice,arcana,actions/0/damage_bonus,athletics,acrobatics,special_abilities/2/damage_dice,special_abilities/0/damage_dice,strength_save,special_abilities/1/damage_dice,special_abilities/3/name,special_abilities/3/desc,special_abilities/3/attack_bonus,reactions/0/name,reactions/0/desc,reactions/0/attack_bonus,actions/4/damage_dice,actions/4/damage_bonus,actions/5/damage_bonus,survival,special_abilities/4/name,special_abilities/4/desc,special_abilities/4/attack_bonus,investigation,nature,special_abilities/5/name,special_abilities/5/desc,special_abilities/5/attack_bonus,intimidation,legendary_actions/3/name,legendary_actions/3/desc,legendary_actions/3/attack_bonus,legendary_actions/3/damage_dice,legendary_actions/4/name,legendary_actions/4/desc,legendary_actions/4/attack_bonus,performance
44,Behir,Huge,monstrosity,,neutral evil,17,168,16d12,"50 ft., climb 40 ft.",23,16,18,7,14,12,,,,,6,,,lightning,,"darkvision 90 ft., passive Perception 16",Draconic,11,,,,,,,,,,Multiattack,The behir makes two attacks: one with its bite and one to constrict.,0,Bite,"Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 22 (3d10 + 6) piercing damage.",10,3d10,6,Constrict,"Melee Weapon Attack: +10 to hit, reach 5 ft., one Large or smaller creature. Hit: 17 (2d10 + 6) bludgeoning damage plus 17 (2d10 + 6) slashing damage. The target is grappled (escape DC 16) if the behir isn't already constricting a creature, and the target is restrained until this grapple ends.",10,2d10 + 2d10,6,Lightning Breath (Recharge 5-6),"The behir exhales a line of lightning that is 20 ft. long and 5 ft. wide. Each creature in that line must make a DC 16 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.",0,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/44,,,,,,7,12d10,,Swallow,"The behir makes one bite attack against a Medium or smaller target it is grappling. If the attack hits, the target is also swallowed, and the grapple ends. While swallowed, the target is blinded and restrained, it has total cover against attacks and other effects outside the behir, and it takes 21 (6d6) acid damage at the start of each of the behir's turns. A behir can have only one creature swallowed at a time.
If the behir takes 30 damage or more on a single turn from the swallowed creature, the behir must succeed on a DC 14 Constitution saving throw at the end of that turn or regurgitate the creature, which falls prone in a space within 10 ft. of the behir. If the behir dies, a swallowed creature is no longer restrained by it and can escape from the corpse by using 15 ft. of movement, exiting prone.",0,,,,,,,,,,,,,,,,,,,,,,,,,,6d6,,,,,,,,,,,,,,,,,,,,
45,Berserker,Medium,humanoid,any race,any chaotic alignment,13,67,9d8,30 ft.,16,12,17,9,11,9,,,,,,,,,,passive Perception 10,any one language (usually Common),2,Reckless,"At the start of its turn, the berserker can gain advantage on all melee weapon attack rolls during that turn, but attack rolls against it have advantage until the start of its next turn.",0,,,,,,,Greataxe,"Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 9 (1d12 + 3) slashing damage.",5,,,,,,,,,,,,,,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/45,,,1d12,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Black Bear,Medium,beast,,unaligned,11,19,3d8,"40 ft., climb 30 ft.",15,10,14,2,12,7,,,,,,,,,,passive Perception 13,,0.5,Keen Smell,The bear has advantage on Wisdom (Perception) checks that rely on smell.,0,,,,,,,Multiattack,The bear makes two attacks: one with its bite and one with its claws.,0,Bite,"Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.",3,1d6,2,Claws,"Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) slashing damage.",3,2d4,2,,,,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Black Dragon Wyrmling,Medium,dragon,,chaotic evil,17,33,6d8,"30 ft., fly 60 ft., swim 30 ft.",15,14,13,10,11,13,3,,2,,4,,,acid,,"blindsight 10 ft., darkvision 60 ft., passive Perception 14",Draconic,2,Amphibious,The dragon can breathe air and water.,0,,,,,,,Bite,"Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage plus 2 (1d4) acid damage.",4,Acid Breath (Recharge 5-6),"The dragon exhales acid in a 15-foot line that is 5 feet wide. Each creature in that line must make a DC 11 Dexterity saving throw, taking 22 (Sd8) acid damage on a failed save, or half as much damage on a successful one.",0,5d8,,,,,,,,,,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/47,,,1d10,4,3,4,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Black Pudding,Large,ooze,,unaligned,7,85,10d10,"20 ft., climb 20 ft.",16,5,16,1,6,1,,,,,,,,"acid, cold, lightning, slashing","blinded, charmed, deafened, exhaustion, frightened, prone","blindsight 60 ft. (blind beyond this radius), passive Perception 8",,4,Amorphous,The pudding can move through a space as narrow as 1 inch wide without squeezing.,0,Corrosive Form,"A creature that touches the pudding or hits it with a melee attack while within 5 feet of it takes 4 (1d8) acid damage. Any nonmagical weapon made of metal or wood that hits the pudding corrodes. After dealing damage, the weapon takes a permanent and cumulative -1 penalty to damage rolls. If its penalty drops to -5, the weapon is destroyed. Nonmagical ammunition made of metal or wood that hits the pudding is destroyed after dealing damage. The pudding can eat through 2-inch-thick, nonmagical wood or metal in 1 round.",0,Spider Climb,"The pudding can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.",0,Pseudopod,"Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage plus 18 (4d8) acid damage. In addition, nonmagical armor worn by the target is partly dissolved and takes a permanent and cumulative -1 penalty to the AC it offers. The armor is destroyed if the penalty reduces its AC to 10.",5,,,,,,,,,,,,,,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/48,,,1d6 + 4d8,,,,,,,,,,,,,,,,,,,,,3,,,,,,1d8,,,,Split,"When a pudding that is Medium or larger is subjected to lightning or slashing damage, it splits into two new puddings if it has at least 10 hit points. Each new pudding has hit points equal to half the original pudding's, rounded down. New puddings are one size smaller than the original pudding.",0,,,,,,,,,,,,,,,,,,,,,
49,Blink Dog,Medium,fey,,lawful good,13,22,4d8,40 ft.,12,17,12,10,13,11,,,,,3,,,,,passive Perception 10,"Blink Dog, understands Sylvan but can't speak it",0.25,Keen Hearing and Smell,The dog has advantage on Wisdom (Perception) checks that rely on hearing or smell.,0,,,,,,,Bite,"Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) piercing damage.",3,Teleport (Recharge 4-6),"The dog magically teleports, along with any equipment it is wearing or carrying, up to 40 ft. to an unoccupied space it can see. Before or after teleporting, the dog can make one bite attack.",0,,,,,,,,,,,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/49,,,1d6,,,5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Blood Hawk,Small,beast,,unaligned,12,7,2d6,"10 ft., fly 60 ft.",6,14,10,3,14,5,,,,,4,,,,,passive Perception 14,,0.125,Keen Sight,The hawk has advantage on Wisdom (Perception) checks that rely on sight.,0,Pack Tactics,The hawk has advantage on an attack roll against a creature if at least one of the hawk's allies is within 5 ft. of the creature and the ally isn't incapacitated.,0,,,,Beak,"Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.",4,,,,,,,,,,,,,,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/50,,,1d4,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Blue Dragon Wyrmling,Medium,dragon,,lawful evil,17,52,8d8,"30 ft., burrow 15 ft., fly 60 ft.",17,10,15,12,11,15,4,,2,,4,,,lightning,,"blindsight 10 ft., darkvision 60 ft., passive Perception 14",Draconic,3,,,,,,,,,,Bite,"Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) piercing damage plus 3 (1d6) lightning damage.",5,Lightning Breath (Recharge 5-6),"The dragon exhales lightning in a 30-foot line that is 5 feet wide. Each creature in that line must make a DC 12 Dexterity saving throw, taking 22 (4d10) lightning damage on a failed save, or half as much damage on a successful one.",0,4d10,,,,,,,,,,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/51,,,1d10 + 1d6,2,4,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Boar,Medium,beast,,unaligned,11,11,2d8,40 ft.,13,11,12,2,9,5,,,,,,,,,,passive Perception 9,,0.25,Charge,"If the boar moves at least 20 ft. straight toward a target and then hits it with a tusk attack on the same turn, the target takes an extra 3 (1d6) slashing damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone.",0,Relentless (Recharges after a Short or Long Rest),"If the boar takes 7 damage or less that would reduce it to 0 hit points, it is reduced to 1 hit point instead.",0,,,,Tusk,"Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) slashing damage.",3,,,,,,,,,,,,,,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/52,,,1d6,,,,,,,,,,,,,,,,,,,,,1,,,,1d6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Bone Devil,Large,fiend,devil,lawful evil,19,142,15d10,"40 ft., fly 40 ft.",18,16,18,13,14,16,,5,6,,,,"cold; bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","fire, poison",poisoned,"darkvision 120 ft., passive Perception 9","Infernal, telepathy 120 ft.",12,Devil's Sight,Magical darkness doesn't impede the devil's darkvision.,0,Magic Resistance,The devil has advantage on saving throws against spells and other magical effects.,0,,,,Multiattack,The devil makes three attacks: two with its claws and one with its sting.,0,Multiattack,The devil makes three attacks: two with its claws and one with its sting.,0,,,Claw,"Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 8 (1d8 + 4) slashing damage.",8,1d8,4,Claw,"Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 8 (1d8 + 4) slashing damage.",8,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/53,,,,,7,,1d8,4,Sting,"Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 13 (2d8 + 4) piercing damage plus 17 (5d6) poison damage, and the target must succeed on a DC 14 Constitution saving throw or become poisoned for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success .",8,Sting,"Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 13 (2d8 + 4) piercing damage plus 17 (5d6) poison damage, and the target must succeed on a DC 14 Constitution saving throw or become poisoned for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success .",8,2d8,,6,7,,,,,,,,,,,,,,,,,,,2d8,4,4,,,,,,,,,,,,,,,,,,
54,Brass Dragon Wyrmling,Medium,dragon,,chaotic good,16,16,3d8,"30 ft., burrow 15 ft., fly 60 ft.",15,10,13,10,11,13,3,,2,,4,,,fire,,"blindsight 10 ft., darkvision 60 ft., passive Perception 14",Draconic,1,,,,,,,,,,Bite,"Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage.",4,Breath Weapons (Recharge 5-6),"The dragon uses one of the following breath weapons.
Fire Breath. The dragon exhales fire in an 20-foot line that is 5 feet wide. Each creature in that line must make a DC 11 Dexterity saving throw, taking 14 (4d6) fire damage on a failed save, or half as much damage on a successful one.
Sleep Breath. The dragon exhales sleep gas in a 15-foot cone. Each creature in that area must succeed on a DC 11 Constitution saving throw or fall unconscious for 1 minute. This effect ends for a creature if the creature takes damage or someone uses an action to wake it.",0,4d6,,,,,,,,,,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/54,,,1d10,2,3,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Bronze Dragon Wyrmling,Medium,dragon,,lawful good,17,32,5d8,"30 ft., fly 60 ft., swim 30 ft.",17,10,15,12,11,15,4,,2,,4,,,lightning,,"blindsight 10 ft., darkvision 60 ft., passive Perception 14",Draconic,2,Amphibious,The dragon can breathe air and water.,0,,,,,,,Bite,"Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) piercing damage.",5,Breath Weapons (Recharge 5-6),"The dragon uses one of the following breath weapons.
Lightning Breath. The dragon exhales lightning in a 40-foot line that is 5 feet wide. Each creature in that line must make a DC 12 Dexterity saving throw, taking 16 (3d10) lightning damage on a failed save, or half as much damage on a successful one.
Repulsion Breath. The dragon exhales repulsion energy in a 30-foot cone. Each creature in that area must succeed on a DC 12 Strength saving throw. On a failed save, the creature is pushed 30 feet away from the dragon.",0,3d10,,,,,,,,,,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/55,,,1d10,2,4,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Brown Bear,Large,beast,,unaligned,11,34,4d10,"40 ft., climb 30 ft.",19,10,16,2,13,7,,,,,3,,,,,passive Perception 13,,1,Keen Smell,The bear has advantage on Wisdom (Perception) checks that rely on smell.,0,,,,,,,Multiattack,The bear makes two attacks: one with its bite and one with its claws.,0,Bite,"Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) piercing damage.",5,1d8,4,Claws,"Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.",5,2d6,4,,,,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Bugbear,Medium,humanoid,goblinoid,chaotic evil,16,27,5d8,30 ft.,15,14,13,8,11,9,,,,,,,,,,"darkvision 60 ft., passive Perception 10","Common, Goblin",1,Brute,A melee weapon deals one extra die of its damage when the bugbear hits with it (included in the attack).,0,Surprise Attack,"If the bugbear surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 7 (2d6) damage from the attack.",0,,,,Morningstar,"Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 11 (2d8 + 2) piercing damage.",4,Javelin,"Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 9 (2d6 + 2) piercing damage in melee or 5 (1d6 + 2) piercing damage at range.",4,2d6,2,,,,,,,,,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/57,,,2d8,,,6,,,,,,,,,,,,,,,,,,2,,,,,,2d6,,,,,,,,,,2,,,,,,,,,,,,,,,,,
58,Bulette,Large,monstrosity,,unaligned,17,94,9d10,"40 ft., burrow 40 ft.",19,11,21,2,10,5,,,,,6,,,,,"darkvision 60 ft., tremorsense 60 ft., passive Perception 16",,5,Standing Leap,"The bulette's long jump is up to 30 ft. and its high jump is up to 15 ft., with or without a running start.",0,,,,,,,Bite,"Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 30 (4d12 + 4) piercing damage.",7,Deadly Leap,"If the bulette jumps at least 15 ft. as part of its movement, it can then use this action to land on its ft. in a space that contains one or more other creatures. Each of those creatures must succeed on a DC 16 Strength or Dexterity saving throw (target's choice) or be knocked prone and take 14 (3d6 + 4) bludgeoning damage plus 14 (3d6 + 4) slashing damage. On a successful save, the creature takes only half the damage, isn't knocked prone, and is pushed 5 ft. out of the bulette's space into an unoccupied space of the creature's choice. If no unoccupied space is within range, the creature instead falls prone in the bulette's space.",0,,,,,,,,,,,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/58,,,4d12,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Camel,Large,beast,,unaligned,9,15,2d10,50 ft.,16,8,14,2,8,5,,,,,,,,,,passive Perception 9,,0.125,,,,,,,,,,Bite,"Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.",5,,,,,,,,,,,,,,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/59,,,1d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Carrion Crawler,Large,monstrosity,,unaligned,13,51,6d10,"30 ft., climb 30 ft.",14,13,16,1,12,5,,,,,3,,,,,"darkvision 60 ft., passive Perception 13",,2,Keen Smell,The carrion crawler has advantage on Wisdom (Perception) checks that rely on smell.,0,Spider Climb,"The carrion crawler can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.",0,,,,Multiattack,The carrion crawler makes two attacks: one with its tentacles and one with its bite.,0,Tentacles,"Melee Weapon Attack: +8 to hit, reach 10 ft., one creature. Hit: 4 (1d4 + 2) poison damage, and the target must succeed on a DC 13 Constitution saving throw or be poisoned for 1 minute. Until this poison ends, the target is paralyzed. The target can repeat the saving throw at the end of each of its turns, ending the poison on itself on a success.",8,1d4,2,Bite,"Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) piercing damage.",4,2d4,2,,,,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Cat,Tiny,beast,,unaligned,12,2,1d4,"40 ft., climb 30 ft.",3,15,10,3,12,7,,,,,3,,,,,passive Perception 13,,0,Keen Smell,The cat has advantage on Wisdom (Perception) checks that rely on smell.,0,,,,,,,Claws,"Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 slashing damage.",0,,,,,,,,,,,,,,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/61,,,,,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Cave Bear,Large,beast,,unaligned,12,42,5d10,"40 ft., swim 30 ft.",20,10,16,2,13,7,,,,,3,,,,,"darkvision 60 ft., passive Perception 13",,2,Keen Smell,The bear has advantage on Wisdom (Perception) checks that rely on smell.,0,,,,,,,Multiattack,The bear makes two attacks: one with its bite and one with its claws.,0,Bite,"Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 9 (1d8 + 5) piercing damage.",7,1d8,5,Claws,"Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage.",7,2d6,5,,,,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Centaur,Large,monstrosity,,neutral good,12,45,6d10,50 ft.,18,14,14,9,13,11,,,,,3,,,,,passive Perception 13,"Elvish, Sylvan",2,Charge,"If the centaur moves at least 30 ft. straight toward a target and then hits it with a pike attack on the same turn, the target takes an extra 10 (3d6) piercing damage.",0,,,,,,,Multiattack,The centaur makes two attacks: one with its pike and one with its hooves or two with its longbow.,0,Pike,"Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 9 (1d10 + 4) piercing damage.",6,1d10,4,Hooves,"Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.",6,2d6,4,Longbow,"Ranged Weapon Attack: +4 to hit, range 150/600 ft., one target. Hit: 6 (1d8 + 2) piercing damage.",4,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/63,,,,,,,1d8,2,,,,,,,,,,,,,,,,,6,,,3d6,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
64,Chain Devil,Medium,fiend,devil,lawful evil,16,85,10d8,30 ft.,18,15,18,11,12,14,,,,,,,"cold; bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","fire, poison",poisoned,"darkvision 120 ft., passive Perception 8","Infernal, telepathy 120 ft.",11,Devil's Sight,Magical darkness doesn't impede the devil's darkvision.,0,Magic Resistance,The devil has advantage on saving throws against spells and other magical effects.,0,,,,Multiattack,The devil makes two attacks with its chains.,0,Chain,"Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) slashing damage. The target is grappled (escape DC 14) if the devil isn't already grappling a creature. Until this grapple ends, the target is restrained and takes 7 (2d6) piercing damage at the start of each of its turns.",8,2d6,4,Animate Chains (Recharges after a Short or Long Rest),"Up to four chains the devil can see within 60 feet of it magically sprout razor-edged barbs and animate under the devil's control, provided that the chains aren't being worn or carried.
Each animated chain is an object with AC 20, 20 hit points, resistance to piercing damage, and immunity to psychic and thunder damage. When the devil uses Multiattack on its turn, it can use each animated chain to make one additional chain attack. An animated chain can grapple one creature of its own but can't make attacks while grappling. An animated chain reverts to its inanimate state if reduced to 0 hit points or if the devil is incapacitated or dies.",0,,,,,,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unnerving Mask,"When a creature the devil can see starts its turn within 30 feet of the devil, the devil can create the illusion that it looks like one of the creature's departed loved ones or bitter enemies. If the creature can see the devil, it must succeed on a DC 14 Wisdom saving throw or be frightened until the end of its turn.",0,,,,,,,,,,,,,,,,,,,,,
65,Chimera,Large,monstrosity,,chaotic evil,14,114,12d10,"30 ft., fly 60 ft.",19,11,19,3,14,10,,,,,8,,,,,"darkvision 60 ft., passive Perception 18",understands Draconic but can't speak,6,,,,,,,,,,Multiattack,"The chimera makes three attacks: one with its bite, one with its horns, and one with its claws. When its fire breath is available, it can use the breath in place of its bite or horns.",0,Bite,"Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) piercing damage.",7,2d6,4,Horns,"Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 10 (1d12 + 4) bludgeoning damage.",7,1d12,4,Claws,"Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.",7,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/65,,,,,,,2d6,4,Fire Breath (Recharge 5-6),"The dragon head exhales fire in a 15-foot cone. Each creature in that area must make a DC 15 Dexterity saving throw, taking 31 (7d8) fire damage on a failed save, or half as much damage on a successful one.",0,,,,,,,,,,,,,,,,,,,,,,,,,,7d8,,,,,,,,,,,,,,,,,,,,
66,Chuul,Large,aberration,,chaotic evil,16,93,11d10,"30 ft., swim 30 ft.",19,10,16,5,11,5,,,,,4,,,poison,poisoned,"darkvision 60 ft., passive Perception 14",understands Deep Speech but can't speak,4,Amphibious,The chuul can breathe air and water.,0,Sense Magic,The chuul senses magic within 120 feet of it at will. This trait otherwise works like the detect magic spell but isn't itself magical.,0,,,,Multiattack,"The chuul makes two pincer attacks. If the chuul is grappling a creature, the chuul can also use its tentacles once.",0,Pincer,"Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage. The target is grappled (escape DC 14) if it is a Large or smaller creature and the chuul doesn't have two other creatures grappled.",6,2d6,4,Tentacles,"One creature grappled by the chuul must succeed on a DC 13 Constitution saving throw or be poisoned for 1 minute. Until this poison ends, the target is paralyzed. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",0,,,,,,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Clay Golem,Large,construct,,unaligned,14,133,14d10,20 ft.,20,9,18,3,8,1,,,,,,,,"acid, poison, psychic; bludgeoning, piercing, and slashing from nonmagical weapons that aren't adamantine","charmed, exhaustion, frightened, paralyzed, petrified, poisoned","darkvision 60 ft., passive Perception 9",understands the languages of its creator but can't speak,9,Acid Absorption,"Whenever the golem is subjected to acid damage, it takes no damage and instead regains a number of hit points equal to the acid damage dealt.",0,Berserk,"Whenever the golem starts its turn with 60 hit points or fewer, roll a d6. On a 6, the golem goes berserk. On each of its turns while berserk, the golem attacks the nearest creature it can see. If no creature is near enough to move to and attack, the golem attacks an object, with preference for an object smaller than itself. Once the golem goes berserk, it continues to do so until it is destroyed or regains all its hit points.",0,Immutable Form,The golem is immune to any spell or effect that would alter its form.,0,Multiattack,The golem makes two slam attacks.,0,Slam,"Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 16 (2d10 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 15 Constitution saving throw or have its hit point maximum reduced by an amount equal to the damage taken. The target dies if this attack reduces its hit point maximum to 0. The reduction lasts until removed by the greater restoration spell or other magic.",8,2d10,5,Haste (Recharge 5-6),"Until the end of its next turn, the golem magically gains a +2 bonus to its AC, has advantage on Dexterity saving throws, and can use its slam attack as a bonus action.",0,,,,,,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magic Resistance,The golem has advantage on saving throws against spells and other magical effects.,0,,,,,,,,Magic Weapons,The golem's weapon attacks are magical.,0,,,,,,,,,,,,,,
